name;ts;value
grapefruit_sprudel;1563048480.0;3.0
grapefruit_sprudel;1563059280.0;3.0
grapefruit_sprudel;1563070080.0;3.0
grapefruit_sprudel;1563080880.0;3.0
grapefruit_sprudel;1563091680.0;3.0
grapefruit_sprudel;1563102480.0;3.0
grapefruit_sprudel;1563113280.0;3.0
grapefruit_sprudel;1563124080.0;3.0
grapefruit_sprudel;1563134880.0;3.0
grapefruit_sprudel;1563145680.0;3.0
grapefruit_sprudel;1563156480.0;3.0
grapefruit_sprudel;1563167280.0;3.0
grapefruit_sprudel;1563178080.0;3.0
grapefruit_sprudel;1563188880.0;3.0
grapefruit_sprudel;1563199680.0;3.0
grapefruit_sprudel;1563210480.0;3.0
grapefruit_sprudel;1563221280.0;3.0
grapefruit_sprudel;1563232080.0;3.0
grapefruit_sprudel;1563242880.0;3.0
grapefruit_sprudel;1563253680.0;3.0
grapefruit_sprudel;1563264480.0;3.0
grapefruit_sprudel;1563275280.0;3.0
grapefruit_sprudel;1563286080.0;3.0
grapefruit_sprudel;1563296880.0;3.0
grapefruit_sprudel;1563307680.0;3.0
grapefruit_sprudel;1563318480.0;3.0
grapefruit_sprudel;1563329280.0;3.0
grapefruit_sprudel;1563340080.0;3.0
grapefruit_sprudel;1563350880.0;3.0
grapefruit_sprudel;1563361680.0;3.0
grapefruit_sprudel;1563372480.0;3.0
grapefruit_sprudel;1563383280.0;3.0
grapefruit_sprudel;1563394080.0;3.0
grapefruit_sprudel;1563404880.0;3.0
grapefruit_sprudel;1563415680.0;3.0
grapefruit_sprudel;1563426480.0;3.0
grapefruit_sprudel;1563437280.0;3.0
grapefruit_sprudel;1563448080.0;3.0
grapefruit_sprudel;1563458880.0;3.0
grapefruit_sprudel;1563469680.0;3.0
grapefruit_sprudel;1563480480.0;3.0
grapefruit_sprudel;1563491280.0;3.0
grapefruit_sprudel;1563502080.0;3.0
grapefruit_sprudel;1563512880.0;3.0
grapefruit_sprudel;1563523680.0;3.0
grapefruit_sprudel;1563534480.0;3.0
grapefruit_sprudel;1563545280.0;3.0
grapefruit_sprudel;1563556080.0;3.0
grapefruit_sprudel;1563566880.0;3.0
grapefruit_sprudel;1563577680.0;3.0
grapefruit_sprudel;1563588480.0;3.0
grapefruit_sprudel;1563599280.0;3.0
grapefruit_sprudel;1563610080.0;3.0
grapefruit_sprudel;1563620880.0;3.0
grapefruit_sprudel;1563631680.0;3.0
grapefruit_sprudel;1563642480.0;3.0
grapefruit_sprudel;1563653280.0;3.0
grapefruit_sprudel;1563664080.0;3.0
grapefruit_sprudel;1563674880.0;3.0
grapefruit_sprudel;1563685680.0;3.0
grapefruit_sprudel;1563696480.0;3.0
grapefruit_sprudel;1563707280.0;3.0
grapefruit_sprudel;1563718080.0;3.0
grapefruit_sprudel;1563728880.0;3.0
grapefruit_sprudel;1563739680.0;3.0
grapefruit_sprudel;1563750480.0;3.0
grapefruit_sprudel;1563761280.0;3.0
grapefruit_sprudel;1563772080.0;3.0
grapefruit_sprudel;1563782880.0;3.0
grapefruit_sprudel;1563793680.0;3.0
grapefruit_sprudel;1563804480.0;3.0
grapefruit_sprudel;1563815280.0;3.0
grapefruit_sprudel;1563826080.0;3.0
grapefruit_sprudel;1563836880.0;3.0
grapefruit_sprudel;1563847680.0;3.0
grapefruit_sprudel;1563858480.0;3.0
